Date Time,Close,Open,High,Low,Change %,Volume
2019-07-26 00:00:00,108.67,108.64,108.83,108.56,0.03%,150
2019-07-25 00:00:00,108.64,108.19,108.77,108.03,0.42%,150
2019-07-24 00:00:00,108.19,108.22,108.28,107.94,-0.03%,150
2019-07-23 00:00:00,108.22,107.84,108.3,107.83,0.32%,150
2019-07-22 00:00:00,107.88,107.8,108.08,107.7,0.05%,150
2019-07-21 00:00:00,107.82,107.69,107.83,107.69,0.10%,150
2019-07-19 00:00:00,107.72,107.3,107.97,107.22,0.39%,150
2019-07-18 00:00:00,107.3,107.94,108.02,107.2,-0.59%,150
2019-07-17 00:00:00,107.94,108.25,108.33,107.94,-0.28%,150
2019-07-16 00:00:00,108.24,107.92,108.39,107.83,0.30%,150
2019-07-15 00:00:00,107.92,107.88,108.11,107.8,0.08%,150
2019-07-14 00:00:00,107.83,107.88,107.97,107.79,-0.07%,150
2019-07-12 00:00:00,107.91,108.48,108.61,107.8,-0.54%,150
2019-07-11 00:00:00,108.5,108.47,108.53,107.86,0.03%,150
2019-07-10 00:00:00,108.47,108.84,108.98,108.33,-0.36%,150
2019-07-09 00:00:00,108.86,108.72,108.97,108.67,0.13%,150
2019-07-08 00:00:00,108.72,108.44,108.81,108.28,0.21%,150
2019-07-07 00:00:00,108.5,108.46,108.58,108.36,0.02%,150
2019-07-05 00:00:00,108.47,107.81,108.64,107.78,0.61%,150
2019-07-04 00:00:00,107.81,107.8,107.86,107.71,-0.02%,150
2019-07-03 00:00:00,107.83,107.89,107.93,107.53,-0.06%,150
2019-07-02 00:00:00,107.89,108.44,108.48,107.77,-0.51%,150
2019-07-01 00:00:00,108.44,108.11,108.55,108.11,0.05%,150
2019-06-30 00:00:00,108.39,107.92,108.5,107.92,0.46%,150
2019-06-28 00:00:00,107.89,107.8,107.94,107.56,0.08%,150
2019-06-27 00:00:00,107.8,107.8,108.17,107.64,0.02%,150
2019-06-26 00:00:00,107.78,107.19,107.86,107.09,0.55%,150
2019-06-25 00:00:00,107.19,107.31,107.42,106.78,-0.10%,150
2019-06-24 00:00:00,107.3,107.41,107.55,107.25,0.00%,150
2019-06-23 00:00:00,107.31,107.39,107.39,107.29,0.00%,150
2019-06-21 00:00:00,107.31,107.31,107.75,107.06,0.00%,150
2019-06-20 00:00:00,107.31,108.09,108.14,107.22,-0.74%,150
2019-06-19 00:00:00,108.11,108.45,108.62,107.91,-0.31%,150
2019-06-18 00:00:00,108.45,108.55,108.69,108.06,-0.10%,150
2019-06-17 00:00:00,108.56,108.44,108.72,108.41,-0.01%,150
2019-06-16 00:00:00,108.57,108.57,108.59,108.42,0.01%,150
2019-06-14 00:00:00,108.56,108.38,108.59,108.16,0.16%,150
2019-06-13 00:00:00,108.39,108.52,108.55,108.17,-0.10%,150
2019-06-12 00:00:00,108.5,108.52,108.58,108.22,-0.02%,150
2019-06-11 00:00:00,108.52,108.45,108.81,108.36,0.07%,150
2019-06-10 00:00:00,108.44,108.56,108.72,108.33,-0.01%,150
2019-06-09 00:00:00,108.46,108.21,108.68,108.21,0.24%,150
2019-06-07 00:00:00,108.19,108.42,108.62,107.89,-0.21%,150
2019-06-06 00:00:00,108.42,108.47,108.58,108.03,-0.05%,150
2019-06-05 00:00:00,108.47,108.14,108.5,107.81,0.31%,150
2019-06-04 00:00:00,108.14,108.08,108.36,107.83,0.06%,150
2019-06-03 00:00:00,108.08,108.38,108.45,107.89,-0.13%,150
2019-06-02 00:00:00,108.22,108.51,108.51,108.17,-0.05%,150
2019-05-31 00:00:00,108.28,109.62,109.64,108.28,-1.21%,150
2019-05-30 00:00:00,109.61,109.61,109.94,109.47,0.02%,150
2019-05-29 00:00:00,109.59,109.38,109.7,109.14,0.19%,150
2019-05-28 00:00:00,109.38,109.5,109.64,109.22,-0.13%,150
2019-05-27 00:00:00,109.52,109.31,109.59,109.28,0.11%,150
2019-05-26 00:00:00,109.4,109.28,109.43,109.28,0.09%,150
2019-05-24 00:00:00,109.31,109.61,109.75,109.28,-0.27%,150
2019-05-23 00:00:00,109.61,110.36,110.38,109.47,-0.68%,150
2019-05-22 00:00:00,110.36,110.48,110.64,110.25,-0.13%,150
2019-05-21 00:00:00,110.5,110.06,110.69,110.03,0.40%,150
2019-05-20 00:00:00,110.06,110.14,110.33,109.81,-0.10%,150
2019-05-19 00:00:00,110.17,109.86,110.24,109.86,0.08%,150
2019-05-17 00:00:00,110.08,109.86,110.19,109.5,0.20%,150
2019-05-16 00:00:00,109.86,109.61,109.97,109.33,0.25%,150
2019-05-15 00:00:00,109.59,109.61,109.72,109.16,-0.02%,150
2019-05-14 00:00:00,109.61,109.3,109.78,109.14,0.27%,150
2019-05-13 00:00:00,109.31,109.75,109.84,109.02,-0.31%,150
2019-05-12 00:00:00,109.64,109.79,109.86,109.64,-0.27%,150
2019-05-10 00:00:00,109.94,109.75,110.05,109.47,0.16%,150
2019-05-09 00:00:00,109.76,110.1,110.13,109.47,-0.32%,150
2019-05-08 00:00:00,110.11,110.25,110.31,109.89,-0.13%,150
2019-05-07 00:00:00,110.25,110.78,110.86,110.17,-0.48%,150
2019-05-06 00:00:00,110.78,110.62,110.99,110.28,0.13%,150
2019-05-05 00:00:00,110.64,110.56,110.85,110.54,-0.43%,150
2019-05-03 00:00:00,111.11,111.52,111.69,111.06,-0.37%,150
2019-05-02 00:00:00,111.52,111.39,111.67,111.36,0.12%,150
2019-05-01 00:00:00,111.39,111.44,111.62,111.05,-0.03%,150
2019-04-30 00:00:00,111.42,111.66,111.7,111.23,-0.20%,150
